port_id,channel_id
26,1
32,2
38,3
7,4
12,5
14,6
13,7
17,7
15,8
18,8
8,9
21,9
8,10
27,10
8,11
33,11
9,12
22,12
9,13
28,13
9,14
34,14
10,15
23,15
10,16
29,16
10,17
35,17
11,18
24,18
11,19
30,19
11,20
36,20
19,21
25,21
20,22
31,22
16,23
37,23
7,24
12,25
14,26
26,27
32,28
38,29
